"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"04106",SV1,27,23,4,0,0,0
2021,2,"04106",SV3,29,24,3,0,1,1
2021,2,"04109",AD1,67,48,16,0,2,1
2021,2,"04109",SI1,48,40,5,0,3,0
2021,2,"04111",CE1,13,7,5,0,0,1
2021,2,"04112",CE1,17,14,0,0,1,2
2021,2,"04116",CE1,51,33,16,0,2,0
2021,2,"04118",CE1,19,8,7,0,4,0
2021,2,"04119",CE1,21,11,6,0,2,2
2021,2,"04120",CE1,12,8,3,0,0,1
2021,2,"04121",CE1,19,6,13,0,0,0
2021,2,"04122",AD3,46,31,10,0,2,3
2021,2,"04122",CE1,53,21,26,0,2,4
2021,2,"04123",CE1,15,9,3,0,2,1
2021,2,"04132",SA1,11,6,3,0,0,2
2021,2,"04132",SA3,14,13,1,0,0,0
2021,2,"04133",CE1,11,9,0,0,1,1
2021,2,"04135",CE1,16,13,2,0,1,0
2021,2,"04139",CE1,17,9,3,0,2,3
2021,2,"04157",EA1,9,7,2,0,0,0
2021,2,"04160",GS3,3,1,2,0,0,0
2021,2,"04161",SZ1,19,14,2,0,0,3
2021,2,"04162",SI1,46,32,11,0,2,1
2021,2,"04163",AD3,29,21,3,0,2,3
2021,2,"04165",SV1,32,32,0,0,0,0
2021,2,"04165",SV3,25,22,1,0,1,1
2021,2,"04166",AD3,32,27,2,0,2,1
2021,2,"04167",SA1,8,7,0,0,0,1
2021,2,"04167",SA3,11,11,0,0,0,0
2021,2,"04167",SV1,15,12,1,0,1,1
2021,2,"04167",SV3,6,6,0,0,0,0
2021,2,"04168",EA1,12,11,1,0,0,0
2021,2,"04170",SF3,24,23,0,0,0,1
2021,2,"04171",CE1,15,6,9,0,0,0
2021,2,"04171",CE2,5,3,1,0,1,0
2021,2,"04172",CE1,9,8,0,0,0,1
2021,2,"04173",GS1,15,8,6,0,0,1
2021,2,"04180",AD3,27,19,2,0,1,5
2021,2,"04180",GS3,13,7,3,0,0,3
2021,2,"04180",SZ3,29,25,0,0,1,3
2021,2,"04181",CE1,27,15,9,0,1,2
2021,2,"04184",CE1,15,8,3,0,2,2
2021,2,"04185",CE1,26,20,4,0,1,1
2021,2,"04187",CE1,6,5,0,0,0,1
2021,2,"04191",CE1,23,19,3,0,1,0
2021,2,"04192",CE1,25,13,10,0,1,1
2021,2,"04193",CE1,41,29,7,0,2,3
2021,2,"04193",SR3,47,36,4,0,2,5
2021,2,"04194",CE1,35,22,5,0,2,6
2021,2,"04196",AM1,16,7,3,0,2,4
2021,2,"04196",CE1,21,19,1,0,0,1
2021,2,"04197",CE1,23,12,3,0,5,3
2021,2,"04198",CE1,23,19,2,0,1,1
2021,2,"04202",AD3,10,7,2,0,1,0
2021,2,"04203",SI1,42,31,6,0,3,2
2021,2,"04204",AD1,32,25,3,0,1,3
2021,2,"04205",AD1,33,25,2,0,3,3
2021,2,"04206",AD1,42,24,13,0,3,2
2021,2,"04207",AD3,18,13,5,0,0,0
